127.0.0.1 - - [23/Jul/2017:11:41:34 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [23/Jul/2017:11:41:38 +0530] "GET /moreProject/ HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [23/Jul/2017:11:41:39 +0530] "GET /moreProject/css/navbar.css HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [23/Jul/2017:11:41:39 +0530] "GET /moreProject/pics/more2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:11:43:31 +0530] "GET /moreProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:11:43:37 +0530] "GET /moreProject/css/navbar.css HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [23/Jul/2017:11:43:37 +0530] "GET /moreProject/pics/more2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:11:52:17 +0530] "GET /moreProject/ HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [23/Jul/2017:11:52:20 +0530] "GET /moreProject/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:11:52:20 +0530] "GET /moreProject/pics/more2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:11:52:22 +0530] "GET /moreProject/UserServlet HTTP/1.1" 405 1112
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:00:09 +0530] "GET /moreProject/UserServlet HTTP/1.1" 405 1112
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:00:25 +0530] "GET /moreProject/UserServlet HTTP/1.1" 405 1112
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:00:29 +0530] "GET /moreProject/ HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:00:42 +0530] "GET /moreProject/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:00:42 +0530] "GET /moreProject/pics/more2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:00:45 +0530] "GET /moreProject/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:00:53 +0530] "POST /moreProject/LoginServlet HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:01:23 +0530] "GET /moreProject/manageCategories HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:03:10 +0530] "POST /moreProject/LoginServlet HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:18:19 +0530] "GET /moreProject/addProduct HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:18:36 +0530] "GET /moreProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:18:38 +0530] "GET /moreProject/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:18:39 +0530] "GET /moreProject/pics/more2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:18:47 +0530] "POST /moreProject/LoginServlet HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:18:49 +0530] "GET /moreProject/AddProduct.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:18:51 +0530] "POST /moreProject/AddServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:41:42 +0530] "GET /moreProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:41:43 +0530] "GET /moreProject/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:41:43 +0530] "GET /moreProject/pics/more2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:41:58 +0530] "POST /moreProject/LoginServlet HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:42:00 +0530] "GET /moreProject/AddProduct.html HTTP/1.1" 200 427
